mol_name,activity,potency
CHEMBL1025,Inactive,4.155
CHEMBL108434,Active,7.745
CHEMBL108696,Active,8.523
CHEMBL109152,Inactive,4.824
CHEMBL1115,Active,7.086
CHEMBL145973,Inactive,2.431
CHEMBL146674,Inactive,2.762
CHEMBL147380,Inactive,3.64
CHEMBL147699,Inactive,3.357
CHEMBL148530,Inactive,3.9
CHEMBL150001,Inactive,4.072
CHEMBL157336,Inactive,5.51366666666667
CHEMBL235565,Active,6.553
CHEMBL2393089,Inactive,5.925
CHEMBL2393108,Inactive,5.442
CHEMBL2393109,Active,8.688
CHEMBL2393110,Active,7.543
CHEMBL2393226,Active,7.912
CHEMBL2393227,Active,9.003
CHEMBL3215535,Active,6.921
CHEMBL321926,Inactive,5.585
CHEMBL3221005,Active,8.926
CHEMBL3221272,Inactive,5.727
CHEMBL3221273,Active,6.381
CHEMBL3221279,Active,6.29
CHEMBL3221280,Active,6.949
CHEMBL3221285,Active,8.44
CHEMBL3221287,Active,8.199
CHEMBL3221568,Active,7.934
CHEMBL325142,Inactive,5.721
CHEMBL3288081,Inactive,3.699
CHEMBL3288092,Inactive,3.699
CHEMBL338975,Active,7.672
CHEMBL357551,Inactive,5.074
CHEMBL3604339,Inactive,4.824
CHEMBL3604340,Inactive,4.076
CHEMBL3604341,Inactive,5.222
CHEMBL3604344,Active,6.721
CHEMBL3604348,Active,7
CHEMBL3604349,Active,7.796
CHEMBL3604350,Inactive,5.056
CHEMBL3604353,Inactive,5.409
CHEMBL3604355,Inactive,4.481
CHEMBL3633525,Active,7.456
CHEMBL3633863,Active,6.105
CHEMBL3633864,Inactive,5.41
CHEMBL3633865,Active,7.569
CHEMBL3633868,Active,6.007
CHEMBL3633869,Active,7.194
CHEMBL3633871,Inactive,5.506
CHEMBL376514,Inactive,4.46
CHEMBL393212,Active,6.625
CHEMBL393621,Active,6.415
CHEMBL394901,Active,6.721
CHEMBL396190,Active,6.14
CHEMBL4074267,Inactive,5.42
CHEMBL4078137,Active,6.886
CHEMBL4082185,Inactive,5.53
CHEMBL4083801,Active,7.097
CHEMBL4084958,Inactive,5.057
CHEMBL4105187,Active,6.538
CHEMBL413039,Inactive,3.771
CHEMBL4159886,Inactive,4.328
CHEMBL4161385,Inactive,4.442
CHEMBL4162941,Inactive,5.143
CHEMBL4170878,Active,6.114
CHEMBL4171576,Inactive,4.564
CHEMBL4174929,Inactive,5.076
CHEMBL4175199,Inactive,4.484
CHEMBL4633036,Active,6.056
CHEMBL4639503,Active,6.252
CHEMBL4639993,Active,6.523
CHEMBL538358,Active,7.672
CHEMBL538603,Inactive,3.73
CHEMBL539625,Inactive,5.067
CHEMBL539873,Inactive,5.009
CHEMBL553187,Active,6.131
CHEMBL556144,Inactive,3.387
CHEMBL556603,Inactive,5.119
CHEMBL659,Active,6.269
CHEMBL94,Active,7.545
CHEMBL95,Active,7.106
ZINC00039573,Inactive,
ZINC00071140,Inactive,
ZINC00188639,Inactive,
ZINC01286520,Inactive,
ZINC01435433,Inactive,
ZINC01565207,Inactive,
ZINC01605050,Inactive,
ZINC01662131,Inactive,
ZINC01690486,Inactive,
ZINC01701190,Inactive,
ZINC01704418,Inactive,
ZINC01717103,Inactive,
ZINC01836026,Inactive,
ZINC02037001,Inactive,
ZINC02096882,Inactive,
ZINC02141190,Inactive,
ZINC02432806,Inactive,
ZINC02496886,Inactive,
ZINC02856677,Inactive,
ZINC02974791,Inactive,
ZINC03111475,Inactive,
ZINC03120079,Inactive,
ZINC03176669,Inactive,
ZINC03190870,Inactive,
ZINC03242101,Inactive,
ZINC03327993,Inactive,
ZINC03604790,Inactive,
ZINC03635843,Inactive,
ZINC03654932,Inactive,
ZINC03722990,Inactive,
ZINC03861649,Inactive,
ZINC03878372,Inactive,
ZINC04094085,Inactive,
ZINC04245221,Inactive,
ZINC04256843,Inactive,
ZINC04535360,Inactive,
ZINC04924409,Inactive,
