mol_name,activity,potency
CHEMBL1006,Inactive,2
CHEMBL1020,Inactive,2
CHEMBL102199,Inactive,4.699
CHEMBL104,Inactive,2
CHEMBL1042,Inactive,2
CHEMBL1046,Inactive,2
CHEMBL105,Inactive,2
CHEMBL1054,Inactive,2
CHEMBL1062,Inactive,2
CHEMBL1068,Inactive,2
CHEMBL1069,Inactive,2
CHEMBL107,Inactive,2
CHEMBL1070,Inactive,2
CHEMBL108,Inactive,2
CHEMBL1082,Inactive,2
CHEMBL108545,Inactive,2
CHEMBL1089,Inactive,2
CHEMBL109,Inactive,2
CHEMBL110691,Inactive,2
CHEMBL1108,Inactive,2
CHEMBL1109,Inactive,2
CHEMBL1110,Inactive,2
CHEMBL1117,Inactive,2
CHEMBL111861,Inactive,2
CHEMBL112,Inactive,2
CHEMBL1123,Inactive,2
CHEMBL113,Inactive,2
CHEMBL1140,Inactive,2
CHEMBL1144,Active,6.838
CHEMBL1148,Inactive,2
CHEMBL115769,Inactive,2
CHEMBL1162,Inactive,2
CHEMBL1163149,Active,6.569
CHEMBL1163150,Active,6.62
CHEMBL1163723,Active,6.387
CHEMBL1163804,Active,7.044
CHEMBL1165012,Inactive,2
CHEMBL1165024,Active,6.585
CHEMBL1165099,Active,6.125
CHEMBL1165259,Inactive,5.833
CHEMBL1167,Inactive,2
CHEMBL1168,Inactive,2
CHEMBL1172,Inactive,2
CHEMBL117405,Inactive,2
CHEMBL118,Inactive,2
CHEMBL11804,Inactive,2
CHEMBL11891,Inactive,5.764
CHEMBL119385,Inactive,2
CHEMBL1194,Inactive,2
CHEMBL119443,Inactive,2
CHEMBL1196,Inactive,2
CHEMBL12,Inactive,2
CHEMBL1200391,Inactive,2
CHEMBL1200406,Inactive,2
CHEMBL1200558,Inactive,2
CHEMBL1200559,Inactive,2
CHEMBL1200585,Inactive,2
CHEMBL1200600,Inactive,2
CHEMBL1200623,Inactive,2
CHEMBL1200624,Inactive,2
CHEMBL1200629,Inactive,2
CHEMBL1200633,Inactive,2
CHEMBL1200656,Inactive,2
CHEMBL1200845,Inactive,2
CHEMBL1200862,Inactive,2
